net,length_um
net1,65.06
net3,59.28
net2,42.8
net7,42.34
_19_,38.51
debug_out[0],35.1
clk,34.94
_17_,31.42
clknet_1_1__leaf_clk,26.12
clknet_1_0__leaf_clk,25.64
net6,25.28
net4,22.84
net5,22.535
net8,19.48
clknet_0_clk,18.08
debug_out[7],17.68
_22_,16.58
net9,16.44
debug_out[2],15.28
_18_,13.84
_16_,13.8
debug_out[1],10.78
debug_out[5],10.68
debug_out[4],8.93
net15,8.86
_09_,8.52
net13,8.48
_05_,8.06
_23_,8.04
_24_,7.8
_07_,7.5
net12,6.78
_21_,6.54
_10_,6.53
debug_out[3],6.43
debug_out[6],6.11
rst,5.87
net14,4.9
_15_,4.76
_03_,4.54
_11_,4.54
_08_,4.51
_01_,4.46
_06_,3.76
net10,3.56
_04_,3.3
net11,3.08
_14_,2.38
_12_,2.21
_13_,2.21
_02_,2.18
_00_,2.005
_20_,1.84
